CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5639079,2013,2015-01-09,1942,2013-01-05,2010,36336,1017,6,5,7,1942,0,0,0,J,0,9T55,"SATICOY ST","GENESTA AV",60.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.5034603,34.208408200000001
5639091,2013,2015-01-08,1942,2013-01-01,0255,39993,0822,2,5,7,1942,0,0,0,H,0,8T35,"PACIFIC COAST HWY","TAHITI AV",123.00,N,N,A,-,Y,LA,7,1,-,-,38.230,H,-,S,Y,1,1,0,2,A,-,11,21954,A,N,G,B,E,A,H,-,C,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.53757659999999,34.036693700000001
5639359,2013,2015-01-09,1900,2013-01-07,0842,273433,0647,1,5,6,1985,0,0,0,,0,64T1,"VIA PRINCESSA","OAK RIDGE DR",0.00,,Y,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,D,22,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","SANTA CLARITA",-118.5359124,34.397365000000001
5639454,2013,2013-01-29,1900,2013-01-04,2135,411388,2117,5,5,5,1943,0,0,0,,0,212T3,"LYNWOOD RD","FIR ST",0.00,,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21956,A,N,G,B,E,A,H,-,D,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",LYNWOOD,-118.2052723,33.921914899999997
5639459,2013,2013-01-29,1942,2013-01-18,1800,32372,1665,5,5,7,1942,0,0,0,P,0,35M57,"GLENOAKS AVE","PEORIA ST",110.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,E,A,H,-,C,A,0,Y,,,,Y,,A,01,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.37743260000001,34.240258099999998
5639490,2013,2015-01-09,1942,2013-01-13,0255,37294,0393,7,5,7,1942,0,0,0,C,0,CIFU,"LEIMERT BL","43RD ST",236.00,N,N,A,-,N,,,,,,,,,,N,1,2,0,3,A,-,11,21954,A,N,G,B,E,A,H,-,C,A,0,Y,,,,Y,Y,-,"- ",0,0,0,2,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.3291909,34.005882399999997
5639495,2013,2015-01-09,1942,2013-01-19,1745,39281,0932,6,5,7,1942,0,0,0,I,0,10T35,"SEPULVEDA BL","HAYNES ST",6.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,D,0,Y,,,,Y,,A,01,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.4661821,34.188448399999999
5639547,2013,2013-02-08,1941,2013-01-05,0537,5755,654,6,5,7,1941,0,0,0,,0,015,"PALO VERDE AV","BELEN ST",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21461,5,N,G,B,D,A,H,-,C,A,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LONG BEACH",-118.10788220000001,33.809194900000001
5639576,2013,2015-01-09,1900,2013-01-07,2103,517840,2611,1,5,6,1950,0,0,0,,0,262T1,"TIERRA SUBIDA AV","DATE PALM DR",272.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",PALMDALE,-118.14749399999999,34.584511999999997
5639607,2013,2013-02-22,1942,2013-02-01,1820,38202,0669,5,5,7,1942,0,0,0,F,0,6T7,"FOUNTAIN AV","HOBART BL",0.00,,Y,B,-,N,,,,,,,,,,Y,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,B,A,0,Y,,,,Y,,A,01,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.30561230000001,34.095034900000002
5639608,2013,2015-01-14,1941,2013-01-25,1858,6066,,5,5,7,1941,0,0,0,,0,,"7TH ST","PEPPER TREE LN",264.00,W,N,C,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21955,,N,G,B,E,B,H,-,C,A,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LONG BEACH",-118.109506,33.774310999999997
5639628,2013,2013-02-27,1955,2013-01-21,1805,030354,45,1,5,6,1955,0,0,0,,0,001,"ORANGE GROVE AV","CASA VISTA DR",300.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,A,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",POMONA,-117.7658304,34.067417200000001
5639680,2013,2015-01-14,9535,2013-01-17,0255,019578,,4,3,5,1947,0,1,3,,2,601,"RT 60","GARFIELD AV",643.00,W,N,A,-,Y,LA,7,60,-,R,5.480,H,-,W,Y,1,1,1,4,A,-,03,22350,,N,C,C,E,A,H,-,D,D,1,Y,,,Y,Y,,G,25,0,1,0,0,1,0,0,0,0,"- ","- ",34.033290000000001,-118.13301,"LOS ANGELES",MONTEBELLO,-118.13379879999999,34.033223300000003
5639697,2013,2013-03-06,9575,2013-01-09,1942,019647,,3,2,6,1953,0,1,1,,2,064,"RT 110","SAN GABRIEL BL",913.00,W,N,A,-,Y,LA,7,210,-,R,28.290,H,-,E,Y,1,1,0,2,A,-,11,21954,A,N,G,B,E,A,H,-,C,D,1,Y,,,Y,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",34.152279999999998,-118.10178999999999,"LOS ANGELES",PASADENA,-118.1002136,34.152373300000001
5639727,2013,2015-01-15,1942,2013-02-06,0350,39177,0315,3,5,7,1942,0,0,0,C,0,12T41,"WESTERN AV","ADAMS BL",120.00,N,N,B,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21954,A,N,G,B,E,A,H,-,C,A,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.30900629999999,34.033013799999999
5639728,2013,2015-01-15,1900,2013-02-09,1922,406363,1430,6,5,4,1937,0,0,0,,0,141T6,"SUNSET AV","FLANNER ST",5.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,D,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LA PUENTE",-117.9640205,34.044294600000001
5639743,2013,2015-01-09,9575,2013-01-10,0920,15935,,4,1,6,1953,0,1,1,,2,063,"RT 210","ARROYO BL",455.00,W,N,B,-,Y,LA,7,210,-,R,22.400,H,-,W,N,1,1,0,2,A,-,11,21954,A,N,G,B,E,B,H,-,A,D,1,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",34.181620000000002,-118.1698,"LOS ANGELES",PASADENA,-118.1708557,34.1822193
5639752,2013,2015-01-15,1900,2013-02-12,0828,470654,0562,2,5,3,1968,0,0,0,,0,54D,"KLINGERMAN ST","SANTA ANITA AV",8.00,E,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,07,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","SOUTH EL MONTE",-118.0424158,34.056084900000002
5639774,2013,2015-01-14,1900,2013-02-04,2341,263103,0972,1,5,4,1979,0,0,0,,0,93T1,"SANTA MONICA BL","PALM AV",15.00,W,N,B,-,Y,,,,,,,,,,N,1,1,1,3,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,I,20,1,0,0,1,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","WEST HOLLYWOOD",-118.3829799,34.085748199999998
5639821,2013,2015-01-09,9535,2013-01-12,0417,019973,,6,3,5,1952,0,1,1,,2,105,"RT 105","GARFIELD AV",490.00,W,N,A,-,Y,LA,7,105,-,R,14.040,H,-,W,N,1,1,1,3,A,-,01,23152,A,F,G,B,E,A,H,-,C,D,7,Y,,,,Y,Y,D,22,0,1,0,1,0,0,0,0,0,"- ","- ",33.911349999999999,-118.16968,"LOS ANGELES",PARAMOUNT,-118.1667518,33.911368899999999
5639871,2013,2013-03-25,1942,2013-03-10,1350,34426,0134,7,5,7,1942,0,0,0,A,0,2TL14,BROADWAY,"4TH ST",135.00,N,N,A,-,N,,,,,,,,,,Y,1,1,6,6,C,-,18,,,N,G,B,F,A,H,-,A,D,0,Y,,,,Y,,-,"- ",1,0,5,1,4,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.2491064,34.049815199999998
5639873,2013,2013-03-25,1942,2013-03-13,1045,39473,0943,3,5,7,1942,0,0,0,I,0,9TL57,"VAN NUYS BL","HATTERAS ST",166.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,4,A,-,03,22350,,N,G,B,E,A,H,-,A,D,0,Y,,,,Y,,A,07,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.4487271,34.176200199999997
5639903,2013,2013-04-12,1900,2013-02-26,1844,523042,1080,2,5,3,1995,0,0,0,,0,101A,"RT 1","DECKER CANYON RD",155.00,S,N,G,-,Y,LA,7,1,-,-,59.760,H,-,N,Y,1,1,0,2,A,-,11,21956,,N,G,B,D,A,H,-,D,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",34.041139999999999,-118.89144,"LOS ANGELES",MALIBU,-118.89200769999999,34.041201600000001
5639906,2013,2013-04-09,1900,2013-03-19,1943,484623,1192,2,5,6,1992,0,0,0,,0,112T1,"AVENUE L","32ND ST WEST",19.00,E,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21954,A,F,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",LANCASTER,-118.1878993,34.660277700000002
5639924,2013,2015-01-09,1942,2013-01-01,1750,32230,0805,2,5,7,1942,0,0,0,H,0,6D252,"SEPULVEDA BL","GETTY CENTER DR",780.00,S,N,B,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,B,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.47454879999999,34.086519500000001
5639926,2013,2015-01-16,1925,2013-03-05,2300,17837,167,2,5,6,1925,0,0,0,,0,001,"CENTRAL AV","DRYDEN ST",0.00,N,N,B,-,N,,,,,,,,,,N,1,1,0,2,-,-,"- ",,,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,,-,"- ",0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",GLENDALE,-118.2568922,34.161434900000003
5639973,2013,2015-01-16,1942,2013-03-20,0620,39477,2156,3,5,7,1942,0,0,0,,0,21T61,"CANOGA AV","VANOWEN ST",12.00,S,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21456,B,N,G,B,B,A,H,-,B,A,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.5975021,34.193731900000003
5814764,2013,2013-02-11,1942,2013-01-10,1410,34674,1783,4,5,7,1942,0,0,0,Q,0,35E17,"VANALDEN AV","NORDHOFF ST",662.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,2,B,-,22,,,N,B,B,D,A,H,-,A,D,0,Y,,,,Y,,D,22,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.54921229999999,34.233658900000002
5814809,2013,2013-03-04,1942,2013-01-15,0835,40696,0353,2,5,7,1942,0,0,0,C,0,3T5,"FARMDALE AV","EXPOSITION BL",207.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,11,21954,A,N,G,B,E,-,H,-,A,A,0,Y,,,,Y,,N,60,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.3460608,34.0235275
5815433,2013,2014-10-29,9590,2013-02-27,0957,20527,,3,1,7,1942,0,1,1,,2,052,"RT 110","3RD ST",264.00,N,N,A,-,Y,LA,7,110,-,-,23.170,H,-,N,N,4,0,1,3,A,-,21,22106,,N,H,C,E,A,H,-,A,D,1,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",34.056870000000004,-118.25524,"LOS ANGELES","LOS ANGELES",-118.2548627,34.057102700000002
5815981,2013,2013-04-23,1942,2013-03-18,1315,36607,0393,1,5,7,1942,0,0,0,C,0,12R11,"CRENSHAW BL","KING BL",17.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,11,21456,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,N,60,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.335127,34.010877000000001
